,chemical_shift,height,width,multiplet_id
0,1.282888471216355,0.3625864612728237,1,
1,3.9822638844838942,0.13741356966516038,1,
2,1.284412664531335,0.4842347737214575,1,
3,4.072962720653818,0.1283516672993689,1,
4,1.2844526060860288,0.12106232010434677,1,
5,4.0688345061892734,0.1289376891469376,1,
6,1.2842350264663698,0.12104338378326855,1,
7,4.06863024504096,0.12895664516351193,1,
8,1.2857950178742281,0.3637069489842347,1,
9,4.160755058326672,0.12052789804110807,1,
10,4.156764974815701,0.12104337083736028,1,
11,4.156547400635868,0.12106225657454339,1,
12,4.2459038463780825,0.11370702583398558,1,
13,1.3735873073862797,0.3874134608537676,1,
14,1.3722050022041887,0.515765094905801,1,
15,1.3723697562411104,0.1289566567659133,1,
16,1.3721655005326248,0.1289377553264486,1,
17,1.3709438059256385,0.3862930217199622,1,
